83287,42.03671,-111.45894,Fish Haven,ID,Idaho,TRUE,,240,3.4,16007,Bear Lake,"{""16007"": 100}",Bear Lake,16007,FALSE,FALSE,America/Boise
83301,42.39472,-114.52203,Twin Falls,ID,Idaho,TRUE,,61291,80.0,16083,Twin Falls,"{""16083"": 99.26, ""16053"": 0.74}",Twin Falls|Jerome,16083|16053,FALSE,FALSE,America/Boise
83302,42.10012,-114.82857,Rogerson,ID,Idaho,TRUE,,338,0.4,16083,Twin Falls,"{""16083"": 74.28, ""16073"": 25.72}",Twin Falls|Owyhee,16083|16073,FALSE,FALSE,America/Boise
83311,42.40396,-113.55864,Albion,ID,Idaho,TRUE,,690,2.9,16031,Cassia,"{""16031"": 100}",Cassia,16031,FALSE,FALSE,America/Boise
83312,42.10296,-113.6319,Almo,ID,Idaho,TRUE,,137,0.6,16031,Cassia,"{""16031"": 100}",Cassia,16031,FALSE,FALSE,America/Boise
83313,43.3586,-114.20511,Bellevue,ID,Idaho,TRUE,,4037,6.1,16013,Blaine,"{""16013"": 100}",Blaine,16013,FALSE,FALSE,America/Boise
83314,42.97376,-114.95228,Bliss,ID,Idaho,TRUE,,865,2.6,16047,Gooding,"{""16047"": 99.13, ""16083"": 0.87}",Gooding|Twin Falls,16047|16083,FALSE,FALSE,America/Boise
83316,42.60622,-114.88507,Buhl,ID,Idaho,TRUE,,10335,13.6,16083,Twin Falls,"{""16083"": 84.93, ""16073"": 14.32, ""16047"": 0.75}",Twin Falls|Owyhee|Gooding,16083|16073|16047,FALSE,FALSE,America/Boise
83318,42.43434,-113.82007,Burley,ID,Idaho,TRUE,,19324,29.4,16031,Cassia,"{""16031"": 99.82, ""16067"": 0.18}",Cassia|Minidoka,16031|16067,FALSE,FALSE,America/Boise
83320,43.40515,-113.88309,Carey,ID,Idaho,TRUE,,1467,1.4,16013,Blaine,"{""16013"": 100}",Blaine,16013,FALSE,FALSE,America/Boise
83321,42.35955,-114.86312,Castleford,ID,Idaho,TRUE,,496,1.1,16083,Twin Falls,"{""16083"": 100}",Twin Falls,16083,FALSE,FALSE,America/Boise
83322,43.31475,-114.96811,Corral,ID,Idaho,TRUE,,64,0.2,16025,Camas,"{""16025"": 100}",Camas,16025,FALSE,FALSE,America/Boise
83323,42.46902,-113.4081,Declo,ID,Idaho,TRUE,,1646,3.1,16031,Cassia,"{""16031"": 100}",Cassia,16031,FALSE,FALSE,America/Boise
83324,42.87725,-114.2615,Dietrich,ID,Idaho,TRUE,,712,3.2,16063,Lincoln,"{""16063"": 100}",Lincoln,16063,FALSE,FALSE,America/Boise
83325,42.58675,-114.24282,Eden,ID,Idaho,TRUE,,799,8.4,16053,Jerome,"{""16053"": 100}",Jerome,16053,FALSE,FALSE,America/Boise
83327,43.51145,-114.7961,Fairfield,ID,Idaho,TRUE,,1034,0.5,16025,Camas,"{""16025"": 100}",Camas,16025,FALSE,FALSE,America/Boise
83328,42.56962,-114.61665,Filer,ID,Idaho,TRUE,,6167,35.4,16083,Twin Falls,"{""16083"": 100}",Twin Falls,16083,FALSE,FALSE,America/Boise
83330,42.94207,-114.69291,Gooding,ID,Idaho,TRUE,,6853,17.9,16047,Gooding,"{""16047"": 99.05, ""16063"": 0.95}",Gooding|Lincoln,16047|16063,FALSE,FALSE,America/Boise
83332,42.79758,-114.92962,Hagerman,ID,Idaho,TRUE,,2427,10.6,16083,Twin Falls,"{""16083"": 60.16, ""16047"": 39.84}",Twin Falls|Gooding,16083|16047,FALSE,FALSE,America/Boise
